access_gate_aggressive_ratio_mean,access_gate_aggressive_ratio_std,access_gate_backoff_ratio_mean,access_gate_backoff_ratio_std,access_gate_normal_ratio_mean,access_gate_normal_ratio_std,beamwidth_deg,collision_count_mean,collision_count_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,discovery_rate_mean,discovery_rate_std,empty_scan_ratio_mean,empty_scan_ratio_std,energy_per_discovery_censored_j_mean,energy_per_discovery_censored_j_std,episodes,lambda2_mean,lambda2_std,method,node_count,scan_actions_per_discovery_censored_mean,scan_actions_per_discovery_censored_std
nan,0.0,nan,0.0,nan,0.0,10,0.0,0.0,0.0026936026936026937,0.00011663641801810621,0.0026936026936026937,0.00011663641801810621,0.9021724797250439,0.0005920250104312678,81.68437087912088,3.4869951011305176,3,-3.9286951147942393e-16,4.0120122267659117e-16,baseline_rl_no_isac,100,20276.611721611724,853.4425281262671
nan,0.0,nan,0.0,nan,0.0,10,0.0,0.0,0.0032996632996633,0.0009965419923871207,0.0032996632996633,0.0009965419923871207,0.9012833333333333,0.001105456165269937,77.52247752247752,20.169926655579978,3,-3.3301012362273326e-16,3.1345898600411936e-16,baseline_skyorbs_like_skip_scan,100,19380.61938061938,5042.481663894995
nan,0.0,nan,0.0,nan,0.0,10,2084.3333333333335,520.0887744734868,0.46165502823230603,0.026539540290272088,0.6542760942760942,0.015381862933623406,0.8568811111111111,0.002568969385513145,0.3959649899040761,0.009271330694004163,3,31.35442118175009,3.269543985439935,baseline_wang2025_comm_tables,100,92.66494690242999,2.184480073232077
0.0,0.0,0.0,0.0,1.0,0.0,15,84217.0,17584.331434547064,0.007118559590761466,0.0009353746071555473,0.4897959183673469,0.03694272162933797,0.004291700767848771,0.00106552501697128,1.04426020123908,0.08829424691414434,2,14.948665299012177,2.7890022196033297,BC-MARL,50,215.99253431984312,18.93811352591943
nan,0.0,nan,0.0,nan,0.0,15,11964.5,1308.8546519762995,0.0851804751714495,0.009149797137202199,0.9122448979591837,0.0075039903309592915,0.36932089706529514,0.0034514011696971437,0.6105732452248783,0.003856786398016714,2,36.61972156304695,1.3466108633788463,Collision-aware ISAC,50,128.8636411683873,1.0049631487946518
nan,0.0,nan,0.0,nan,0.0,15,17031.5,1482.8029201481902,0.06174746336880228,0.005789798407073338,0.916734693877551,0.011544600509168104,0.36581584157656244,0.0029822259690646495,0.6480375000297376,0.007847122227032734,2,33.80540491718119,5.567888903962311,Rule ISAC,50,128.25327371535468,1.5452238097580784
nan,0.0,nan,0.0,nan,0.0,15,0.0,0.0,0.015102040816326531,0.0017316900763752197,0.015102040816326531,0.0017316900763752197,0.89143626866819,0.0006347579045522559,35.080510294117644,4.029038286603622,2,-6.188151398299377e-16,3.8008371158664135e-17,Uniform random,50,6942.286764705883,791.3044812934223
nan,0.0,nan,0.0,nan,0.0,15,3472.5,369.81684656056433,0.2403224929543992,0.01846811839455237,0.9187755102040817,0.0017316900763752392,0.8184966666666667,0.003002846797438918,0.5694583532004787,0.0008263977116372974,2,37.317144477363705,0.3323999658635398,Wang ISAC,50,133.27433712151114,0.2511928588274455
nan,0.0,nan,0.0,nan,0.0,15,5348.0,462.44783489600206,0.16383904829525678,0.012602781221273165,0.8767346938775511,0.005772300254584052,0.8622133333333333,0.0024890158697767027,0.5974516667808168,0.004409552563237483,2,29.729384346475886,1.26093131941948,Wang ISAC+tables,50,139.66783157672063,0.9195537320439607
0.0,0.0,0.0,0.0,1.0,0.0,15,249641.5,8583.5692168235,0.006778983955976696,0.00014639741489532078,0.34878787878787876,0.019284730395996756,0.003796629636858921,0.00012000851770082364,0.7040028391050337,0.038624303447773456,2,16.550486583733495,4.1190164603387815,BC-MARL,100,142.39080741309692,7.620599748246122
