training_seed,arm,scenario_seed,tx_ratio,discovery_rate,mean_delay_censored,neighbor_knowledge_recall,aligned_handshake_opportunities,step_reward_mean
29262711,B,33260711,0.49633333333333335,0.4888888888888889,221.8,0.7222222222222222,29.0,0.026547947898507118
29262711,B,33260712,0.4836666666666667,0.4444444444444444,231.3111111111111,0.7444444444444445,25.0,0.024025561287999153
29262711,B,33260713,0.493,0.6222222222222222,200.46666666666667,0.9444444444444444,61.0,0.033509962260723114
29262711,B,33260714,0.4856666666666667,0.4888888888888889,229.22222222222223,0.7666666666666667,41.0,0.025919415056705475
29262711,B,33260715,0.49333333333333335,0.5111111111111111,226.42222222222222,0.7888888888888889,25.0,0.027173452079296112
29262711,B,33260716,0.514,0.5555555555555556,219.11111111111111,0.9444444444444444,39.0,0.029493622481822968
29262711,B,33260717,0.5183333333333333,0.5555555555555556,212.2,0.7444444444444445,36.0,0.030003681778907776
29262711,B,33260718,0.49633333333333335,0.6222222222222222,180.11111111111111,0.9888888888888889,29.0,0.03527506813406944
29262711,B,33260719,0.5003333333333333,0.5111111111111111,214.84444444444443,0.7555555555555555,24.0,0.028061356395483017
29262711,B,33260720,0.496,0.4888888888888889,219.26666666666668,0.8333333333333334,36.0,0.026661913841962814
29262711,B,33260721,0.5,0.6,195.48888888888888,0.8555555555555555,34.0,0.033107880502939224
29262711,B,33260722,0.49266666666666664,0.4,230.15555555555557,0.6,20.0,0.022302517667412758
29262711,B,33260723,0.49933333333333335,0.4444444444444444,220.75555555555556,0.7222222222222222,32.0,0.024733208119869232
29262711,B,33260724,0.508,0.5777777777777777,198.44444444444446,0.8777777777777778,28.0,0.03203880414366722
29262711,B,33260725,0.49333333333333335,0.5555555555555556,201.11111111111111,0.8888888888888888,33.0,0.030868135392665863
29262711,B,33260726,0.485,0.5777777777777777,186.9777777777778,0.9444444444444444,30.0,0.03287834674119949
29262711,B,33260727,0.495,0.5333333333333333,217.17777777777778,0.8777777777777778,60.0,0.02854243665933609
29262711,B,33260728,0.49933333333333335,0.4888888888888889,215.24444444444444,0.8333333333333334,35.0,0.02703125588595867
29262711,B,33260729,0.496,0.4888888888888889,197.55555555555554,0.8333333333333334,36.0,0.028325693681836128
29262711,B,33260730,0.504,0.5555555555555556,179.2,0.8,36.0,0.03250696510076523
29262711,C,33260711,0.5476666666666666,0.5111111111111111,213.48888888888888,0.8444444444444444,38.0,0.02802002988755703
29262711,C,33260712,0.555,0.5333333333333333,214.13333333333333,0.8888888888888888,31.0,0.02898487076163292
29262711,C,33260713,0.5593333333333333,0.4666666666666667,233.77777777777777,0.8444444444444444,52.0,0.024566607549786568
29262711,C,33260714,0.5603333333333333,0.5111111111111111,203.9111111111111,0.8111111111111111,28.0,0.028857434168457985
29262711,C,33260715,0.554,0.4666666666666667,222.46666666666667,0.7777777777777778,25.0,0.025617780163884163
29262711,C,33260716,0.5513333333333333,0.5777777777777777,199.13333333333333,0.9333333333333333,30.0,0.03196363151073456
29262711,C,33260717,0.5476666666666666,0.5777777777777777,218.0888888888889,0.9222222222222223,38.0,0.030493877828121185
29262711,C,33260718,0.5533333333333333,0.5333333333333333,225.84444444444443,0.8222222222222222,27.0,0.028120264410972595
29262711,C,33260719,0.5513333333333333,0.5555555555555556,200.77777777777777,0.8777777777777778,27.0,0.03094322234392166
29262711,C,33260720,0.5533333333333333,0.4888888888888889,235.46666666666667,0.8111111111111111,28.0,0.025556188076734543
29262711,C,33260721,0.5563333333333333,0.5555555555555556,210.9777777777778,0.9111111111111111,29.0,0.030162328854203224
29262711,C,33260722,0.5433333333333333,0.4222222222222222,250.66666666666666,0.6777777777777778,21.0,0.021659037098288536
29262711,C,33260723,0.5496666666666666,0.4666666666666667,225.37777777777777,0.7222222222222222,33.0,0.02534537948668003
29262711,C,33260724,0.5566666666666666,0.6222222222222222,201.48888888888888,0.9,32.0,0.03362637758255005
29262711,C,33260725,0.5476666666666666,0.5333333333333333,216.2,0.8222222222222222,30.0,0.028836015611886978
29262711,C,33260726,0.5483333333333333,0.6444444444444445,196.6,0.9555555555555556,37.0,0.03486759960651398
29262711,C,33260727,0.5546666666666666,0.5777777777777777,216.04444444444445,0.8777777777777778,36.0,0.03065105713903904
29262711,C,33260728,0.5493333333333333,0.4222222222222222,225.35555555555555,0.6777777777777778,33.0,0.02350371889770031
29262711,C,33260729,0.5576666666666666,0.4666666666666667,225.75555555555556,0.6777777777777778,32.0,0.025323618203401566
29262711,C,33260730,0.555,0.28888888888888886,258.35555555555555,0.5222222222222223,18.0,0.01526711042970419
29262711,D,33260711,0.5466666666666666,0.4666666666666667,225.51111111111112,0.6888888888888889,34.0,0.025318680331110954
29262711,D,33260712,0.553,0.4888888888888889,220.73333333333332,0.7555555555555555,26.0,0.02664821594953537
29262711,D,33260713,0.5563333333333333,0.4888888888888889,221.17777777777778,0.8333333333333334,46.0,0.02648143470287323
29262711,D,33260714,0.5586666666666666,0.4888888888888889,206.3111111111111,0.8111111111111111,38.0,0.027663495391607285
29262711,D,33260715,0.549,0.37777777777777777,225.62222222222223,0.7111111111111111,23.0,0.021676987409591675
29262711,D,33260716,0.5483333333333333,0.4666666666666667,202.22222222222223,0.7666666666666667,26.0,0.027134526520967484
