action_policy_protocol,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,marl_trained,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method_family,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,protocol,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,true_edges_seen,tx_actions
wang2025_isac_tables,0,0,1.0,0.022222222222222223,0.0,9,1,0.5,0.10957703265395571,0.0005,0.022222222222222223,1653,0.8265,9.126000000000001,9.126000000000001,wang2025_isac_tables,10,0,0.8,0.0,2,0.2,0,198.24444444444444,0.9304224742529704,2.2275165148757012,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.6344744852038104,10,200.0,200.0,200.0,1042,wang2025_isac_tables,1,958,2000,2000.0,21170718,21170718,0,0.8677290836653386,0.009170257430118218,0.13227091633466134,9051,1255,200,45,1042
wang2025_isac_tables,0,0,1.0,0.022222222222222223,0.0,9,1,0.5,0.11081560283687944,0.0005,0.022222222222222223,1591,0.7955,9.024,9.024,wang2025_isac_tables,11,0,0.8,0.0,2,0.2,0,199.57777777777778,0.8068979101235136,-3.9252618787790885,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.413251927102448,10,200.0,200.0,200.0,1008,wang2025_isac_tables,1,992,2000,2000.0,21170719,21170719,0,0.7553495007132668,0.009217651803203135,0.24465049928673324,8679,1402,200,45,1008
wang2025_isac_tables,0,0,1.0,0.022222222222222223,0.0,9,1,0.5,0.11081560283687944,0.0005,0.022222222222222223,1602,0.801,9.024,9.024,wang2025_isac_tables,12,0,0.8,0.0,2,0.2,0,198.35555555555555,0.7824764649836657,-3.7878723497461615,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.726502235137913,10,200.0,200.0,200.0,1008,wang2025_isac_tables,1,992,2000,2000.0,21170720,21170720,0,0.7574144486692015,0.0073563218390804595,0.24258555133079848,8700,1315,200,45,1008
wang2025_isac_tables,0,0,1.0,0.044444444444444446,0.0,8,2,1.0,0.22431583669807087,0.001,0.044444444444444446,1685,0.8425,8.916,4.458,wang2025_isac_tables,13,0,0.7,0.0,3,0.3,0,194.9777777777778,0.8188349823160445,-2.4798360069998027,common_env_action_policy,Wang sensing-table action policy,gauss_markov,8.30641981407562,10,200.0,200.0,200.0,972,wang2025_isac_tables,1,1028,2000,1000.0,21170721,21170721,0,0.7538461538461538,0.010189228529839884,0.24615384615384617,8244,1105,200,45,972
wang2025_isac_tables,0,0,1.0,0.044444444444444446,0.0,8,2,1.0,0.22060445621001543,0.001,0.044444444444444446,1660,0.83,9.066,4.533,wang2025_isac_tables,14,0,0.6,0.0,2,0.2,0,197.7111111111111,0.8245681017239206,-3.082953386004287,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.2842813882609025,10,200.0,200.0,200.0,1022,wang2025_isac_tables,1,978,2000,1000.0,21170722,21170722,0,0.7795275590551181,0.010208763477861895,0.2204724409448819,8718,1270,200,45,1022
wang2025_isac_tables,0,0,1.0,0.044444444444444446,0.0,8,2,1.0,0.22163120567375888,0.001,0.044444444444444446,1682,0.841,9.024,4.512,wang2025_isac_tables,15,0,0.6,0.0,2,0.2,0,194.88888888888889,0.9138560113835148,1.6234444747447652,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.592698474931945,10,200.0,200.0,200.0,1008,wang2025_isac_tables,1,992,2000,1000.0,21170723,21170723,0,0.8654434250764526,0.009376126938333935,0.1345565749235474,8319,981,200,45,1008
wang2025_isac_tables,0,0,1.0,0.044444444444444446,0.0,8,2,1.0,0.22259321090706735,0.001,0.044444444444444446,1633,0.8165,8.985,4.4925,wang2025_isac_tables,16,0,0.6,0.0,2,0.2,0,192.46666666666667,0.9301448610840602,0.7357301806031317,common_env_action_policy,Wang sensing-table action policy,gauss_markov,6.178531602365361,10,200.0,200.0,200.0,995,wang2025_isac_tables,1,1005,2000,1000.0,21170724,21170724,0,0.8870326173428799,0.0076183778715424285,0.11296738265712013,8532,1257,200,45,995
wang2025_isac_tables,0,0,1.0,0.044444444444444446,0.0,8,2,1.0,0.22155754957350174,0.001,0.044444444444444446,1624,0.812,9.027,4.5135,wang2025_isac_tables,17,0,0.6,0.0,2,0.2,0,195.2,0.7934281751938441,-2.7247729270352097,common_env_action_policy,Wang sensing-table action policy,gauss_markov,8.216394122309005,10,200.0,200.0,200.0,1009,wang2025_isac_tables,1,991,2000,1000.0,21170725,21170725,0,0.7595220313666916,0.007423117709437964,0.24047796863330845,8487,1339,200,45,1009
wang2025_isac_tables,0,0,1.0,0.022222222222222223,0.0,9,1,0.5,0.11272686281140795,0.0005,0.022222222222222223,1661,0.8305,8.871,8.871,wang2025_isac_tables,18,0,0.8,0.0,2,0.2,0,197.75555555555556,0.8000605329304931,-3.5659195305734452,common_env_action_policy,Wang sensing-table action policy,gauss_markov,6.045453919172631,10,200.0,200.0,200.0,957,wang2025_isac_tables,1,1043,2000,2000.0,21170726,21170726,0,0.7605150214592274,0.006468936897351398,0.23948497854077253,8193,1165,200,45,957
wang2025_isac_tables,0,0,1.0,0.06666666666666667,0.0,7,3,1.5,0.3337783711615487,0.0015,0.06666666666666667,1625,0.8125,8.988000000000001,2.9960000000000004,wang2025_isac_tables,19,0,0.4,0.0,2,0.2,0,190.62222222222223,0.8758946847634187,-1.7953492871982666,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.337047245275518,10,200.0,200.0,200.0,996,wang2025_isac_tables,1,1004,2000,666.6666666666666,21170727,21170727,0,0.8080185042405551,0.010069078562229248,0.19198149575944487,8541,1297,200,45,996
budgeted_collision_aware_isac,0,0,1.0,0.06666666666666667,0.0,7,3,1.5151515151515151,0.3940627873374491,0.0015151515151515152,0.06666666666666667,1452,0.7333333333333333,7.613,2.537666666666667,wang2025_isac_tables,0,20,0.6,-6.084100270286183e-17,4,0.4,0,196.53333333333333,0.9052071091469277,-1.3542171086230994,common_env_action_policy,Budgeted ISAC rule,gauss_markov,7.9149591129900685,10,200.0,200.0,200.0,556,budgeted_collision_aware_isac,1,1424,1980,660.0,21170708,21170708,0,0.8383458646616542,0.008259212198221092,0.16165413533834586,4722,798,200,45,556
budgeted_collision_aware_isac,0,0,1.0,0.022222222222222223,0.0,9,1,0.5037783375314862,0.1327360212377634,0.0005037783375314861,0.022222222222222223,1622,0.8171284634760705,7.53375,7.53375,wang2025_isac_tables,1,15,0.8,0.0,2,0.2,0,197.22222222222223,0.7969956694658404,-3.4548764742370315,common_env_action_policy,Budgeted ISAC rule,gauss_markov,7.361316630180093,10,200.0,200.0,200.0,525,budgeted_collision_aware_isac,1,1460,1985,1985.0,21170709,21170709,0,0.7553191489361702,0.008273459612453734,0.24468085106382978,4593,658,200,45,525
budgeted_collision_aware_isac,0,0,1.0,0.1111111111111111,0.0,5,5,2.540650406504065,0.6675567423230975,0.002540650406504065,0.1111111111111111,1376,0.6991869918699187,7.489999999999999,1.4979999999999998,wang2025_isac_tables,2,32,0.4,0.0,6,0.6,0,189.64444444444445,0.9070946295415763,0.281670122320104,common_env_action_policy,Budgeted ISAC rule,gauss_markov,8.258276149709568,10,200.0,200.0,200.0,526,budgeted_collision_aware_isac,1,1442,1968,393.6,21170710,21170710,0,0.8721174004192872,0.009567297238530115,0.1278825995807128,4599,954,200,45,526
budgeted_collision_aware_isac,0,0,1.0,0.022222222222222223,0.0,9,1,0.5058168942842691,0.1322795065974404,0.0005058168942842691,0.022222222222222223,1531,0.7744056651492159,7.55975,7.55975,wang2025_isac_tables,3,23,0.8,0.0,2,0.2,0,198.37777777777777,0.923257744140301,0.8809088089757158,common_env_action_policy,Budgeted ISAC rule,gauss_markov,7.572084276538915,10,200.0,200.0,200.0,541,budgeted_collision_aware_isac,1,1436,1977,1977.0,21170711,21170711,0,0.8652291105121294,0.01007502679528403,0.1347708894878706,4665,742,200,45,541
budgeted_collision_aware_isac,0,0,1.0,0.08888888888888889,0.0,6,4,2.0294266869609334,0.535170752918353,0.0020294266869609334,0.08888888888888889,1514,0.7681380010147133,7.47425,1.8685625,wang2025_isac_tables,4,29,0.5,-8.243318554471497e-18,5,0.5,0,188.51111111111112,0.8201627899059554,-3.4284351567333466,common_env_action_policy,Budgeted ISAC rule,gauss_markov,6.67624565823902,10,200.0,200.0,200.0,518,budgeted_collision_aware_isac,1,1453,1971,492.75,21170712,21170712,0,0.7667597765363129,0.008979413053000438,0.23324022346368714,4566,716,200,45,518
