slot,samples,candidate_count_mean_mean,positive_beam_recall_mean,empty_opportunity_exclusion_rate_mean,selected_candidate_compliance_mean,selected_undiscovered_beam_rate_mean,tx_fraction_mean
169,150,5.061999999999999,0.9687662337662338,0.7913703707857083,1.0,0.024000000000000004,0.09466666666666666
170,150,5.01,0.9685238095238095,0.7934660945921811,1.0,0.02666666666666667,0.1113333333333333
171,150,4.941333333333333,0.9681428571428571,0.7962078548250128,1.0,0.023333333333333338,0.09066666666666667
172,150,4.9,0.9681428571428571,0.7978190482233045,1.0,0.021333333333333336,0.108
173,150,4.836,0.9681428571428571,0.8004086267413635,1.0,0.019333333333333334,0.09
174,150,4.795333333333334,0.9675873015873014,0.8019765147236709,1.0,0.020666666666666667,0.09133333333333332
175,150,4.746666666666667,0.9692539682539681,0.8039543299551704,1.0,0.018666666666666665,0.07733333333333332
176,150,4.717333333333334,0.9692539682539681,0.8050993527492565,1.0,0.013333333333333334,0.09533333333333334
177,150,4.670666666666666,0.9692539682539681,0.8070515933182876,1.0,0.02066666666666667,0.092
178,150,4.640666666666667,0.9725873015873014,0.80824365612052,1.0,0.016666666666666666,0.09733333333333331
179,150,4.608666666666666,0.9698095238095238,0.809403570386867,1.0,0.02,0.09866666666666667
180,150,4.572666666666666,0.9698095238095238,0.8108188256562556,1.0,0.016666666666666666,0.10666666666666667
181,150,4.530666666666667,0.9698095238095238,0.8124840751140098,1.0,0.012666666666666668,0.08733333333333333
182,150,4.491333333333333,0.9681428571428571,0.8139940011826995,1.0,0.016000000000000004,0.09599999999999999
183,150,4.4559999999999995,0.9705873015873013,0.815454356253328,1.0,0.014666666666666668,0.088
184,150,4.416666666666667,0.9705873015873013,0.8170311926738998,1.0,0.011333333333333332,0.09399999999999999
185,150,4.382,0.9705873015873013,0.8184808033844198,1.0,0.012,0.09666666666666666
186,150,4.345333333333333,0.9717777777777776,0.8200223497525286,1.0,0.013333333333333334,0.10733333333333334
187,150,4.299333333333333,0.9717777777777776,0.8219002999826492,1.0,0.013333333333333334,0.104
188,150,4.266666666666667,0.9717777777777776,0.823265280951703,1.0,0.014,0.10066666666666667
189,150,4.248,0.9717777777777776,0.8240007011728558,1.0,0.014,0.08666666666666666
190,150,4.229333333333332,0.9717777777777776,0.8246939636726441,1.0,0.012666666666666666,0.10666666666666666
191,150,4.200666666666666,0.9717777777777776,0.825800172951439,1.0,0.012,0.09599999999999999
192,150,4.168666666666667,0.9717777777777776,0.8270934859499561,1.0,0.009333333333333332,0.10466666666666667
193,150,4.134,0.975111111111111,0.8285195786078301,1.0,0.010666666666666668,0.10066666666666667
194,150,4.100666666666666,0.9784444444444443,0.8299381256603456,1.0,0.009333333333333332,0.09799999999999999
195,150,4.06,0.9784444444444443,0.8316359631805357,1.0,0.012666666666666666,0.09599999999999999
196,150,4.0326666666666675,0.9784444444444443,0.8326914074565083,1.0,0.009333333333333334,0.10466666666666666
197,150,4.023333333333333,0.9784444444444443,0.833009624503875,1.0,0.009333333333333332,0.10066666666666665
198,150,3.9973333333333336,0.9817777777777776,0.8341212272388034,1.0,0.008000000000000002,0.102
199,150,3.971333333333334,0.984,0.8352373037447856,1.0,0.01,0.10066666666666667
200,150,3.945333333333333,0.984,0.8363225124045206,1.0,0.009333333333333334,0.102
201,150,3.9213333333333336,0.984,0.8372325318438918,1.0,0.008,0.11733333333333335
