episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
9,,2086.8984375,99,18199.9296875,43.80243740018206,2800,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
9,,2086.9609375,199,18202.17578125,43.79550193415071,2900,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
9,,2087.08203125,299,18208.35546875,43.77642035630445,3000,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
10,,2007.62890625,99,18356.703125,43.31835393287361,3100,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
10,,2007.69140625,199,18286.05078125,43.53651354001988,3200,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
10,,2007.7265625,299,18507.06640625,42.85406368253465,3300,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
11,,2085.12890625,99,18447.10546875,43.03921047137166,3400,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
11,,2085.12890625,199,18394.33984375,43.20213964554823,3500,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
11,,2085.12890625,299,18405.01953125,43.16916301227916,3600,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
12,,2069.7734375,99,18452.4453125,43.02272215473712,3700,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
12,,2069.7734375,199,18508.16015625,42.85068641211939,3800,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
