algorithm,collision_count,discovered_edges,discovery_rate,empty_scan_ratio,env_protocol,episode,episode_cumulative_reward,idle_actions,lambda2,lcc_ratio,new_edges_count,reward_mean,reward_sum,rx_actions,scan_actions,seed,sense_actions,slot,training_step,true_edges,tx_actions,run,network,reward_version,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
isac_mappo,216,35,0.7777777777777778,0.902013422818792,isac_structured_marl,0,-28.78499908745289,237,4.539347006835037,1.0,0,-0.0475000031292438,-0.4750000238418579,789,1490,20260705,633,235,236,45,701,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,226,36,0.8,0.8944262295081967,isac_structured_marl,0,-28.979999110102654,242,5.146724092493277,1.0,1,0.1665000021457672,1.6649999618530271,802,1525,20260705,643,240,241,45,723,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,236,36,0.8,0.8857509627727856,isac_structured_marl,0,-30.96499912440777,249,5.146724092493277,1.0,0,-0.0420000031590461,-0.4200000166893005,820,1558,20260705,653,245,246,45,738,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,244,37,0.8222222222222222,0.8788643533123028,isac_structured_marl,0,-30.68999919295311,256,5.422774644930107,1.0,1,0.1644999980926513,1.6449999809265137,834,1585,20260705,669,250,251,45,751,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,252,37,0.8222222222222222,0.8735275883446993,isac_structured_marl,0,-32.309999227523804,266,5.422774644930107,1.0,0,-0.0289999991655349,-0.2899999916553497,849,1613,20260705,681,255,256,45,764,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,258,37,0.8222222222222222,0.8705953827460511,isac_structured_marl,0,-34.339999198913574,274,5.422774644930107,1.0,0,-0.0345000028610229,-0.3450000286102295,871,1646,20260705,690,260,261,45,775,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,271,37,0.8222222222222222,0.863961813842482,isac_structured_marl,0,-36.18999919295311,278,5.422774644930107,1.0,0,-0.0235000010579824,-0.2350000143051147,887,1676,20260705,706,265,266,45,789,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,276,37,0.8222222222222222,0.8573943661971831,isac_structured_marl,0,-37.82499933242798,287,5.422774644930107,1.0,0,-0.0375000052154064,-0.3750000596046448,899,1704,20260705,719,270,271,45,805,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,283,37,0.8222222222222222,0.8507204610951009,isac_structured_marl,0,-39.684999376535416,293,5.422774644930107,1.0,0,-0.0480000004172325,-0.4800000190734863,914,1735,20260705,732,275,276,45,821,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,291,37,0.8222222222222222,0.8475437605872389,isac_structured_marl,0,-41.97499933838844,299,5.422774644930107,1.0,0,-0.0424999967217445,-0.4249999523162842,933,1771,20260705,740,280,281,45,838,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,299,38,0.8444444444444444,0.841375485302274,isac_structured_marl,0,-41.79999935626984,302,5.422774644930104,1.0,0,-0.0425000004470348,-0.4250000119209289,949,1803,20260705,755,285,286,45,854,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,306,38,0.8444444444444444,0.8380588876772083,isac_structured_marl,0,-43.78499931097031,305,5.422774644930104,1.0,0,-0.0399999991059303,-0.4000000059604645,963,1834,20260705,771,290,291,45,871,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,314,38,0.8444444444444444,0.8325281803542673,isac_structured_marl,0,-45.63499933481216,307,5.422774644930104,1.0,0,-0.0340000018477439,-0.3400000333786011,980,1863,20260705,790,295,296,45,883,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,0,0.0,1.0,isac_structured_marl,1,-0.5149999856948853,1,0.0,0.1,0,-0.0515000000596046,-0.5149999856948853,1,7,20260706,2,0,301,45,6,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,0,0.0,1.0,isac_structured_marl,1,-3.1149999499320984,1,0.0,0.1,0,-0.0439999997615814,-0.4399999976158142,15,43,20260706,16,5,306,45,28,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,0,0.0,0.9871794871794872,isac_structured_marl,1,-5.584999859333038,3,0.0,0.1,0,-0.0434999987483024,-0.4349999725818634,35,78,20260706,29,10,311,45,43,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,1,0.0222222222222222,0.982608695652174,isac_structured_marl,1,-6.214999943971634,5,0.0,0.2,0,-0.0499999970197677,-0.4999999701976776,50,115,20260706,40,15,316,45,65,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
