active_count,belief_max,belief_mean,candidate_count,discovered_edges_before,method,node,positive_count,score_max,slot
,0.6977894306182861,0.30042627453804016,63,0,ours_marl,4,,1.0,14
,0.6872250437736511,0.2850223183631897,59,0,ours_marl,5,,1.0,14
,0.8966866731643677,0.3014487624168396,61,0,ours_marl,6,,1.0,14
,0.37682098150253296,0.2901701331138611,62,0,ours_marl,7,,1.0,14
,0.6872250437736511,0.2717178761959076,54,0,ours_marl,8,,1.0,14
,0.7085694074630737,0.2853732109069824,58,0,ours_marl,9,,1.0,14
,0.683833658695221,0.27762311697006226,53,0,ours_marl,0,,1.0,15
,0.683833658695221,0.2478247731924057,43,0,ours_marl,1,,1.0,15
,0.6533913612365723,0.31731706857681274,78,0,ours_marl,2,,1.0,15
,0.7275587916374207,0.26585644483566284,47,0,ours_marl,3,,1.0,15
,0.683833658695221,0.2791363596916199,57,0,ours_marl,4,,1.0,15
,0.6734805107116699,0.2793218195438385,58,0,ours_marl,5,,1.0,15
,0.8787529468536377,0.28324875235557556,54,0,ours_marl,6,,1.0,15
,0.3692845404148102,0.2843666672706604,62,0,ours_marl,7,,1.0,15
,0.7161780595779419,0.2599106729030609,51,0,ours_marl,8,,1.0,15
,0.694398045539856,0.2659270465373993,52,0,ours_marl,9,,1.0,15
,0.7128545045852661,0.2602478265762329,45,0,ours_marl,0,,1.0,16
,0.8338483572006226,0.2334667146205902,38,0,ours_marl,1,,1.0,16
,0.6403235197067261,0.310970664024353,78,0,ours_marl,2,,1.0,16
,0.7130076289176941,0.25296875834465027,46,0,ours_marl,3,,1.0,16
,0.6701569557189941,0.27355363965034485,56,0,ours_marl,4,,1.0,16
,0.6600109338760376,0.2634040415287018,54,0,ours_marl,5,,1.0,16
,0.8611778616905212,0.2775837779045105,53,0,ours_marl,6,,1.0,16
,0.36189886927604675,0.27867937088012695,62,0,ours_marl,7,,1.0,16
,0.7018544673919678,0.25471246242523193,50,0,ours_marl,8,,1.0,16
,0.6805101037025452,0.24563275277614594,45,0,ours_marl,9,,1.0,16
,0.6985973715782166,0.24593991041183472,41,0,ours_marl,0,,1.0,17
,0.8171713948249817,0.22879740595817566,37,0,ours_marl,1,,1.0,17
,0.62751704454422,0.3047512471675873,78,0,ours_marl,2,,1.0,17
,0.698747456073761,0.24790936708450317,45,0,ours_marl,3,,1.0,17
,0.8455392122268677,0.2657005786895752,56,0,ours_marl,4,,1.0,17
,0.6468107104301453,0.25813594460487366,53,0,ours_marl,5,,1.0,17
,0.84395432472229,0.26055043935775757,46,0,ours_marl,6,,1.0,17
,0.7095974087715149,0.26686224341392517,56,0,ours_marl,7,,1.0,17
,0.6468107104301453,0.23820354044437408,48,0,ours_marl,8,,1.0,17
,0.6668998599052429,0.24072010815143585,44,0,ours_marl,9,,1.0,17
,0.6846254467964172,0.2410210818052292,40,0,ours_marl,0,,1.0,18
,0.8396284580230713,0.2145274579524994,33,0,ours_marl,1,,1.0,18
,0.6149666905403137,0.2986561954021454,78,0,ours_marl,2,,1.0,18
,0.6847724914550781,0.2350316345691681,43,0,ours_marl,3,,1.0,18
,0.828628420829773,0.26038655638694763,56,0,ours_marl,4,,1.0,18
,0.6338744759559631,0.2502383291721344,54,0,ours_marl,5,,1.0,18
,0.8270752429962158,0.25533944368362427,45,0,ours_marl,6,,1.0,18
,0.6954054236412048,0.2525610327720642,53,0,ours_marl,7,,1.0,18
,0.6338744759559631,0.23343946039676666,48,0,ours_marl,8,,1.0,18
,0.8441028594970703,0.24841301143169403,45,0,ours_marl,9,,1.0,18
,0.8519198298454285,0.23971675336360931,41,0,ours_marl,0,,1.0,19
,0.8228358626365662,0.21023692190647125,32,0,ours_marl,1,,1.0,19
,0.6026673913002014,0.27858805656433105,72,0,ours_marl,2,,1.0,19
,0.6710770726203918,0.23033097386360168,42,0,ours_marl,3,,1.0,19
,0.8338358998298645,0.25190603733062744,55,0,ours_marl,4,,1.0,19
,0.621196985244751,0.24523356556892395,54,0,ours_marl,5,,1.0,19
,0.9147402048110962,0.25333040952682495,46,0,ours_marl,6,,1.0,19
,0.68149733543396,0.24750982224941254,52,0,ours_marl,7,,1.0,19
,0.8131921887397766,0.22668586671352386,48,0,ours_marl,8,,1.0,19
,0.8272207975387573,0.2434447556734085,45,0,ours_marl,9,,1.0,19
,0.8348814249038696,0.22730907797813416,37,0,ours_marl,0,,1.0,20
,0.8063791394233704,0.2060321420431137,32,0,ours_marl,1,,1.0,20
,0.5906140208244324,0.2730162739753723,71,0,ours_marl,2,,1.0,20
,0.6576555371284485,0.214796245098114,39,0,ours_marl,3,,1.0,20
,0.9177216291427612,0.2456340789794922,54,0,ours_marl,4,,1.0,20
,0.8239479064941406,0.2345973551273346,51,0,ours_marl,5,,1.0,20
,0.8964453935623169,0.24826379120349884,46,0,ours_marl,6,,1.0,20
,0.8505403399467468,0.23843449354171753,49,0,ours_marl,7,,1.0,20
,0.796928346157074,0.20833900570869446,42,0,ours_marl,8,,1.0,20
,0.8552942872047424,0.23686660826206207,41,0,ours_marl,9,,1.0,20
,0.8181837797164917,0.22276286780834198,36,0,ours_marl,0,,1.0,21
,0.7902515530586243,0.18931709229946136,27,0,ours_marl,1,,1.0,21
,0.5788017511367798,0.26755601167678833,71,0,ours_marl,2,,1.0,21
,0.6445024013519287,0.2105003148317337,39,0,ours_marl,3,,1.0,21
,0.8993672132492065,0.22624212503433228,47,0,ours_marl,4,,1.0,21
,0.8074688911437988,0.21962423622608185,45,0,ours_marl,5,,1.0,21
,0.8785164952278137,0.23164652287960052,42,0,ours_marl,6,,1.0,21
,0.833529531955719,0.2336658090353012,48,0,ours_marl,7,,1.0,21
,0.7809897661209106,0.20101405680179596,39,0,ours_marl,8,,1.0,21
,0.8381884098052979,0.22383050620555878,36,0,ours_marl,9,,1.0,21
,0.8018200993537903,0.21830764412879944,36,1,ours_marl,0,,1.0,22
,0.8823962211608887,0.20994599163532257,29,1,ours_marl,1,,1.0,22
,0.5672256946563721,0.25212931632995605,66,1,ours_marl,2,,1.0,22
,0.6316123604774475,0.20629030466079712,38,1,ours_marl,3,,1.0,22
,0.8813798427581787,0.21974527835845947,44,1,ours_marl,4,,1.0,22
,0.7913195490837097,0.20515623688697815,39,1,ours_marl,5,,1.0,22
,0.9217401742935181,0.25051555037498474,12,1,ours_marl,6,,1.0,22
,0.8168589472770691,0.21664997935295105,43,1,ours_marl,7,,1.0,22
,0.7653700113296509,0.19699376821517944,38,1,ours_marl,8,,1.0,22
,0.821424663066864,0.21935391426086426,35,1,ours_marl,9,,1.0,22
,0.7857837080955505,0.21394149959087372,37,1,ours_marl,0,,1.0,23
,0.8647482991218567,0.19768325984477997,26,1,ours_marl,1,,1.0,23
,0.691378116607666,0.24245081841945648,61,1,ours_marl,2,,1.0,23
,0.6189801096916199,0.19269368052482605,35,1,ours_marl,3,,1.0,23
,0.8637522459030151,0.21535038948059082,43,1,ours_marl,4,,1.0,23
,0.7754931449890137,0.20105311274528503,38,1,ours_marl,5,,1.0,23
,0.9033053517341614,0.24550525844097137,12,1,ours_marl,6,,1.0,23
,0.800521731376648,0.21231696009635925,42,1,ours_marl,7,,1.0,23
,0.7500625848770142,0.19305390119552612,38,1,ours_marl,8,,1.0,23
,0.9122482538223267,0.21321481466293335,35,1,ours_marl,9,,1.0,23
,0.7700680494308472,0.20966264605522156,36,1,ours_marl,0,,1.0,24
,0.8847002983093262,0.19329951703548431,25,1,ours_marl,1,,1.0,24
,0.8548977375030518,0.24041299521923065,58,1,ours_marl,2,,1.0,24
,0.6066005229949951,0.17853529751300812,31,1,ours_marl,3,,1.0,24
,0.846477210521698,0.2110433727502823,43,1,ours_marl,4,,1.0,24
,0.7599833011627197,0.1904163658618927,34,1,ours_marl,5,,1.0,24
,0.8852392435073853,0.24059511721134186,12,1,ours_marl,6,,1.0,24
,0.7845113277435303,0.19889816641807556,41,1,ours_marl,7,,1.0,24
,0.7350613474845886,0.18919280171394348,38,1,ours_marl,8,,1.0,24
,0.9523015022277832,0.2146197408437729,35,1,ours_marl,9,,1.0,24
,0.8348212242126465,0.20404934883117676,36,1,ours_marl,0,,1.0,25
,0.8670063018798828,0.1849660724401474,25,1,ours_marl,1,,1.0,25
,0.9270099401473999,0.23183192312717438,57,1,ours_marl,2,,1.0,25
,0.5944684743881226,0.17496459186077118,30,1,ours_marl,3,,1.0,25
,0.9232964515686035,0.19856970012187958,41,1,ours_marl,4,,1.0,25
,0.7447836399078369,0.18660803139209747,33,1,ours_marl,5,,1.0,25
,0.8675344586372375,0.22501780092716217,12,1,ours_marl,6,,1.0,25
,0.7688210606575012,0.19492024183273315,41,1,ours_marl,7,,1.0,25
,0.7203601002693176,0.17679522931575775,34,1,ours_marl,8,,1.0,25
,0.9332554340362549,0.203079491853714,30,1,ours_marl,9,,1.0,25
,0.8181247711181641,0.19906020164489746,32,1,ours_marl,0,,1.0,26
,0.9323498010635376,0.1814957559108734,24,1,ours_marl,1,,1.0,26
,0.9084697365760803,0.22719532251358032,57,1,ours_marl,2,,1.0,26
,0.8121606111526489,0.1719934493303299,29,1,ours_marl,3,,1.0,26
,0.9048305153846741,0.18530496954917908,36,1,ours_marl,4,,1.0,26
,0.7298879623413086,0.18287590146064758,33,1,ours_marl,5,,1.0,26
,0.8501837849617004,0.22051745653152466,11,1,ours_marl,6,,1.0,26
,0.7534446716308594,0.18210795521736145,38,1,ours_marl,7,,1.0,26
,0.7059528827667236,0.17325933277606964,34,1,ours_marl,8,,1.0,26
,0.9145903587341309,0.18972066044807434,26,1,ours_marl,9,,1.0,26
,0.8017622828483582,0.1950789988040924,32,1,ours_marl,0,,1.0,27
,0.9137027859687805,0.17786581814289093,24,1,ours_marl,1,,1.0,27
,0.8903003334999084,0.21354390680789948,52,1,ours_marl,2,,1.0,27
,0.7959173917770386,0.16855357587337494,29,1,ours_marl,3,,1.0,27
,0.886733889579773,0.1825857013463974,35,1,ours_marl,4,,1.0,27
,0.7152901887893677,0.1792183667421341,33,1,ours_marl,5,,1.0,27
,0.9249310493469238,0.20844309031963348,40,1,ours_marl,6,,1.0,27
,0.7383757829666138,0.17846578359603882,37,1,ours_marl,7,,1.0,27
,0.6918338537216187,0.15780264139175415,27,1,ours_marl,8,,1.0,27
,0.8962985277175903,0.18592625856399536,25,1,ours_marl,9,,1.0,27
,0.7857270240783691,0.18507470190525055,30,1,ours_marl,0,,1.0,28
,0.901748776435852,0.17968019843101501,24,1,ours_marl,1,,1.0,28
