family,metric,beamwidth_deg,scenario_seed,treatment,control,expected_direction,treatment_value,control_value,delta
topology_support,lambda2,10.0,20468205,contention_actor,mappo_no_isac,positive,14.896451193796588,0.0,14.896451193796588
topology_support,lambda2,10.0,20468206,contention_actor,mappo_no_isac,positive,17.156844533105062,0.0,17.156844533105062
topology_support,lambda2,10.0,20468207,contention_actor,mappo_no_isac,positive,14.255702399273453,0.0,14.255702399273453
topology_support,lambda2,10.0,20468208,contention_actor,mappo_no_isac,positive,14.486424972522393,0.0,14.486424972522393
topology_support,lambda2,10.0,20468209,contention_actor,mappo_no_isac,positive,12.632034646945543,0.0,12.632034646945543
topology_support,lambda2,10.0,20468210,contention_actor,mappo_no_isac,positive,15.652777478681958,0.0,15.652777478681958
topology_support,lambda2,10.0,20468211,contention_actor,mappo_no_isac,positive,11.604579297782012,0.0,11.604579297782012
topology_support,lambda2,10.0,20468212,contention_actor,mappo_no_isac,positive,13.25873949411516,0.0,13.25873949411516
topology_support,lambda2,10.0,20468213,contention_actor,mappo_no_isac,positive,15.489932875917368,0.0,15.489932875917368
topology_support,lambda2,10.0,20468214,contention_actor,mappo_no_isac,positive,14.380881410627772,0.0,14.380881410627772
topology_support,lambda2,10.0,20468205,contention_actor,contention_no_isac,positive,14.896451193796588,0.0,14.896451193796588
topology_support,lambda2,10.0,20468206,contention_actor,contention_no_isac,positive,17.156844533105062,0.0,17.156844533105062
topology_support,lambda2,10.0,20468207,contention_actor,contention_no_isac,positive,14.255702399273453,0.0,14.255702399273453
topology_support,lambda2,10.0,20468208,contention_actor,contention_no_isac,positive,14.486424972522393,0.0,14.486424972522393
topology_support,lambda2,10.0,20468209,contention_actor,contention_no_isac,positive,12.632034646945543,0.0,12.632034646945543
topology_support,lambda2,10.0,20468210,contention_actor,contention_no_isac,positive,15.652777478681958,0.0,15.652777478681958
topology_support,lambda2,10.0,20468211,contention_actor,contention_no_isac,positive,11.604579297782012,0.0,11.604579297782012
topology_support,lambda2,10.0,20468212,contention_actor,contention_no_isac,positive,13.25873949411516,0.0,13.25873949411516
topology_support,lambda2,10.0,20468213,contention_actor,contention_no_isac,positive,15.489932875917368,0.0,15.489932875917368
topology_support,lambda2,10.0,20468214,contention_actor,contention_no_isac,positive,14.380881410627772,0.0,14.380881410627772
topology_support,lambda2,15.0,20468705,contention_actor,uniform_random,positive,15.670307141654876,-8.506200656135995e-16,15.670307141654876
topology_support,lambda2,15.0,20468706,contention_actor,uniform_random,positive,17.61516375149928,-1.2200317203399193e-15,17.61516375149928
topology_support,lambda2,15.0,20468707,contention_actor,uniform_random,positive,22.3829242269168,-1.0645467533565106e-15,22.3829242269168
topology_support,lambda2,15.0,20468708,contention_actor,uniform_random,positive,21.81592502347499,-1.0919670295757865e-15,21.81592502347499
topology_support,lambda2,15.0,20468709,contention_actor,uniform_random,positive,22.105973709830355,-1.1246986129191338e-15,22.105973709830355
topology_support,lambda2,15.0,20468710,contention_actor,uniform_random,positive,20.41215167411466,-1.417781306949889e-15,20.41215167411466
topology_support,lambda2,15.0,20468711,contention_actor,uniform_random,positive,24.276132143319863,-1.049967141095822e-15,24.276132143319863
topology_support,lambda2,15.0,20468712,contention_actor,uniform_random,positive,23.25860663323438,-1.1757130781391021e-15,23.25860663323438
