beam,discovered_edges_after,empty_scan_ratio,method,mode,new_edges_this_slot,node,sensing_detection_rate,slot
30,0,0.845360824742268,ours_marl,tx,0,6,0.8214285714285714,20
13,0,0.845360824742268,ours_marl,rx,0,7,0.8214285714285714,20
91,0,0.845360824742268,ours_marl,tx,0,8,0.8214285714285714,20
89,0,0.845360824742268,ours_marl,tx,0,9,0.8214285714285714,20
39,1,0.8382352941176471,ours_marl,rx,1,0,0.8295454545454546,21
26,1,0.8382352941176471,ours_marl,tx,1,1,0.8295454545454546,21
1,1,0.8382352941176471,ours_marl,tx,1,2,0.8295454545454546,21
57,1,0.8382352941176471,ours_marl,rx,1,3,0.8295454545454546,21
13,1,0.8382352941176471,ours_marl,tx,1,4,0.8295454545454546,21
102,1,0.8382352941176471,ours_marl,tx,1,5,0.8295454545454546,21
63,1,0.8382352941176471,ours_marl,rx,1,6,0.8295454545454546,21
19,1,0.8382352941176471,ours_marl,tx,1,7,0.8295454545454546,21
96,1,0.8382352941176471,ours_marl,rx,1,8,0.8295454545454546,21
21,1,0.8382352941176471,ours_marl,rx,1,9,0.8295454545454546,21
0,1,0.8349056603773585,ours_marl,idle,0,0,0.8279569892473119,22
99,1,0.8349056603773585,ours_marl,tx,0,1,0.8279569892473119,22
102,1,0.8349056603773585,ours_marl,tx,0,2,0.8279569892473119,22
50,1,0.8349056603773585,ours_marl,tx,0,3,0.8279569892473119,22
0,1,0.8349056603773585,ours_marl,idle,0,4,0.8279569892473119,22
50,1,0.8349056603773585,ours_marl,rx,0,5,0.8279569892473119,22
47,1,0.8349056603773585,ours_marl,rx,0,6,0.8279569892473119,22
89,1,0.8349056603773585,ours_marl,rx,0,7,0.8279569892473119,22
79,1,0.8349056603773585,ours_marl,rx,0,8,0.8279569892473119,22
72,1,0.8349056603773585,ours_marl,tx,0,9,0.8279569892473119,22
15,1,0.8153153153153153,ours_marl,rx,0,0,0.8461538461538461,23
52,1,0.8153153153153153,ours_marl,tx,0,1,0.8461538461538461,23
86,1,0.8153153153153153,ours_marl,tx,0,2,0.8461538461538461,23
92,1,0.8153153153153153,ours_marl,tx,0,3,0.8461538461538461,23
41,1,0.8153153153153153,ours_marl,rx,0,4,0.8461538461538461,23
53,1,0.8153153153153153,ours_marl,tx,0,5,0.8461538461538461,23
100,1,0.8153153153153153,ours_marl,rx,0,6,0.8461538461538461,23
31,1,0.8153153153153153,ours_marl,tx,0,7,0.8461538461538461,23
43,1,0.8153153153153153,ours_marl,rx,0,8,0.8461538461538461,23
57,1,0.8153153153153153,ours_marl,tx,0,9,0.8461538461538461,23
39,1,0.7974137931034483,ours_marl,tx,0,0,0.831858407079646,24
9,1,0.7974137931034483,ours_marl,tx,0,1,0.831858407079646,24
85,1,0.7974137931034483,ours_marl,tx,0,2,0.831858407079646,24
72,1,0.7974137931034483,ours_marl,rx,0,3,0.831858407079646,24
40,1,0.7974137931034483,ours_marl,tx,0,4,0.831858407079646,24
80,1,0.7974137931034483,ours_marl,rx,0,5,0.831858407079646,24
47,1,0.7974137931034483,ours_marl,tx,0,6,0.831858407079646,24
44,1,0.7974137931034483,ours_marl,rx,0,7,0.831858407079646,24
9,1,0.7974137931034483,ours_marl,tx,0,8,0.831858407079646,24
81,1,0.7974137931034483,ours_marl,tx,0,9,0.831858407079646,24
63,1,0.7933884297520661,ours_marl,tx,0,0,0.8403361344537815,25
52,1,0.7933884297520661,ours_marl,tx,0,1,0.8403361344537815,25
94,1,0.7933884297520661,ours_marl,rx,0,2,0.8403361344537815,25
55,1,0.7933884297520661,ours_marl,tx,0,3,0.8403361344537815,25
90,1,0.7933884297520661,ours_marl,tx,0,4,0.8403361344537815,25
14,1,0.7933884297520661,ours_marl,rx,0,5,0.8403361344537815,25
95,1,0.7933884297520661,ours_marl,rx,0,6,0.8403361344537815,25
61,1,0.7933884297520661,ours_marl,tx,0,7,0.8403361344537815,25
9,1,0.7933884297520661,ours_marl,rx,0,8,0.8403361344537815,25
50,1,0.7933884297520661,ours_marl,tx,0,9,0.8403361344537815,25
12,1,0.7896825396825397,ours_marl,rx,0,0,0.8416666666666667,26
26,1,0.7896825396825397,ours_marl,rx,0,1,0.8416666666666667,26
12,1,0.7896825396825397,ours_marl,tx,0,2,0.8416666666666667,26
72,1,0.7896825396825397,ours_marl,rx,0,3,0.8416666666666667,26
11,1,0.7896825396825397,ours_marl,tx,0,4,0.8416666666666667,26
91,1,0.7896825396825397,ours_marl,rx,0,5,0.8416666666666667,26
102,1,0.7896825396825397,ours_marl,tx,0,6,0.8416666666666667,26
24,1,0.7896825396825397,ours_marl,rx,0,7,0.8416666666666667,26
65,1,0.7896825396825397,ours_marl,tx,0,8,0.8416666666666667,26
29,1,0.7896825396825397,ours_marl,rx,0,9,0.8416666666666667,26
93,1,0.7931034482758621,ours_marl,tx,0,0,0.8455284552845529,27
26,1,0.7931034482758621,ours_marl,tx,0,1,0.8455284552845529,27
10,1,0.7931034482758621,ours_marl,rx,0,2,0.8455284552845529,27
46,1,0.7931034482758621,ours_marl,tx,0,3,0.8455284552845529,27
60,1,0.7931034482758621,ours_marl,tx,0,4,0.8455284552845529,27
98,1,0.7931034482758621,ours_marl,rx,0,5,0.8455284552845529,27
0,1,0.7931034482758621,ours_marl,idle,0,6,0.8455284552845529,27
95,1,0.7931034482758621,ours_marl,tx,0,7,0.8455284552845529,27
62,1,0.7931034482758621,ours_marl,rx,0,8,0.8455284552845529,27
83,1,0.7931034482758621,ours_marl,tx,0,9,0.8455284552845529,27
0,1,0.79182156133829,ours_marl,idle,0,0,0.8527131782945736,28
25,1,0.79182156133829,ours_marl,rx,0,1,0.8527131782945736,28
8,1,0.79182156133829,ours_marl,tx,0,2,0.8527131782945736,28
104,1,0.79182156133829,ours_marl,rx,0,3,0.8527131782945736,28
31,1,0.79182156133829,ours_marl,rx,0,4,0.8527131782945736,28
104,1,0.79182156133829,ours_marl,rx,0,5,0.8527131782945736,28
24,1,0.79182156133829,ours_marl,tx,0,6,0.8527131782945736,28
50,1,0.79182156133829,ours_marl,tx,0,7,0.8527131782945736,28
97,1,0.79182156133829,ours_marl,tx,0,8,0.8527131782945736,28
0,1,0.79182156133829,ours_marl,idle,0,9,0.8527131782945736,28
12,1,0.7849462365591398,ours_marl,tx,0,0,0.8540145985401459,29
30,1,0.7849462365591398,ours_marl,tx,0,1,0.8540145985401459,29
83,1,0.7849462365591398,ours_marl,rx,0,2,0.8540145985401459,29
72,1,0.7849462365591398,ours_marl,tx,0,3,0.8540145985401459,29
15,1,0.7849462365591398,ours_marl,rx,0,4,0.8540145985401459,29
80,1,0.7849462365591398,ours_marl,tx,0,5,0.8540145985401459,29
104,1,0.7849462365591398,ours_marl,rx,0,6,0.8540145985401459,29
36,1,0.7849462365591398,ours_marl,tx,0,7,0.8540145985401459,29
54,1,0.7849462365591398,ours_marl,rx,0,8,0.8540145985401459,29
72,1,0.7849462365591398,ours_marl,rx,0,9,0.8540145985401459,29
29,1,0.7804878048780488,ours_marl,rx,0,0,0.8571428571428571,30
0,1,0.7804878048780488,ours_marl,idle,0,1,0.8571428571428571,30
5,1,0.7804878048780488,ours_marl,tx,0,2,0.8571428571428571,30
55,1,0.7804878048780488,ours_marl,rx,0,3,0.8571428571428571,30
67,1,0.7804878048780488,ours_marl,rx,0,4,0.8571428571428571,30
16,1,0.7804878048780488,ours_marl,tx,0,5,0.8571428571428571,30
8,1,0.7804878048780488,ours_marl,tx,0,6,0.8571428571428571,30
0,1,0.7804878048780488,ours_marl,idle,0,7,0.8571428571428571,30
39,1,0.7804878048780488,ours_marl,rx,0,8,0.8571428571428571,30
27,1,0.7804878048780488,ours_marl,rx,0,9,0.8571428571428571,30
103,1,0.7668918918918919,ours_marl,tx,0,0,0.8609271523178808,31
11,1,0.7668918918918919,ours_marl,tx,0,1,0.8609271523178808,31
53,1,0.7668918918918919,ours_marl,tx,0,2,0.8609271523178808,31
96,1,0.7668918918918919,ours_marl,tx,0,3,0.8609271523178808,31
11,1,0.7668918918918919,ours_marl,rx,0,4,0.8609271523178808,31
0,1,0.7668918918918919,ours_marl,idle,0,5,0.8609271523178808,31
95,1,0.7668918918918919,ours_marl,rx,0,6,0.8609271523178808,31
36,1,0.7668918918918919,ours_marl,tx,0,7,0.8609271523178808,31
82,1,0.7668918918918919,ours_marl,rx,0,8,0.8609271523178808,31
72,1,0.7668918918918919,ours_marl,tx,0,9,0.8609271523178808,31
66,1,0.761437908496732,ours_marl,rx,0,0,0.8618421052631579,32
30,1,0.761437908496732,ours_marl,rx,0,1,0.8618421052631579,32
41,1,0.761437908496732,ours_marl,tx,0,2,0.8618421052631579,32
56,1,0.761437908496732,ours_marl,rx,0,3,0.8618421052631579,32
30,1,0.761437908496732,ours_marl,rx,0,4,0.8618421052631579,32
65,1,0.761437908496732,ours_marl,rx,0,5,0.8618421052631579,32
95,1,0.761437908496732,ours_marl,tx,0,6,0.8618421052631579,32
44,1,0.761437908496732,ours_marl,tx,0,7,0.8618421052631579,32
63,1,0.761437908496732,ours_marl,tx,0,8,0.8618421052631579,32
70,1,0.761437908496732,ours_marl,rx,0,9,0.8618421052631579,32
39,1,0.7563291139240507,ours_marl,rx,0,0,0.8571428571428571,33
90,1,0.7563291139240507,ours_marl,tx,0,1,0.8571428571428571,33
94,1,0.7563291139240507,ours_marl,rx,0,2,0.8571428571428571,33
90,1,0.7563291139240507,ours_marl,tx,0,3,0.8571428571428571,33
41,1,0.7563291139240507,ours_marl,rx,0,4,0.8571428571428571,33
99,1,0.7563291139240507,ours_marl,tx,0,5,0.8571428571428571,33
67,1,0.7563291139240507,ours_marl,tx,0,6,0.8571428571428571,33
74,1,0.7563291139240507,ours_marl,tx,0,7,0.8571428571428571,33
92,1,0.7563291139240507,ours_marl,rx,0,8,0.8571428571428571,33
27,1,0.7563291139240507,ours_marl,tx,0,9,0.8571428571428571,33
48,1,0.7476923076923077,ours_marl,tx,0,0,0.8493975903614458,34
97,1,0.7476923076923077,ours_marl,tx,0,1,0.8493975903614458,34
69,1,0.7476923076923077,ours_marl,tx,0,2,0.8493975903614458,34
101,1,0.7476923076923077,ours_marl,rx,0,3,0.8493975903614458,34
67,1,0.7476923076923077,ours_marl,tx,0,4,0.8493975903614458,34
7,1,0.7476923076923077,ours_marl,tx,0,5,0.8493975903614458,34
63,1,0.7476923076923077,ours_marl,tx,0,6,0.8493975903614458,34
9,1,0.7476923076923077,ours_marl,tx,0,7,0.8493975903614458,34
40,1,0.7476923076923077,ours_marl,tx,0,8,0.8493975903614458,34
0,1,0.7476923076923077,ours_marl,idle,0,9,0.8493975903614458,34
29,1,0.7447447447447447,ours_marl,rx,0,0,0.8546511627906976,35
19,1,0.7447447447447447,ours_marl,rx,0,1,0.8546511627906976,35
96,1,0.7447447447447447,ours_marl,tx,0,2,0.8546511627906976,35
56,1,0.7447447447447447,ours_marl,tx,0,3,0.8546511627906976,35
37,1,0.7447447447447447,ours_marl,tx,0,4,0.8546511627906976,35
0,1,0.7447447447447447,ours_marl,idle,0,5,0.8546511627906976,35
63,1,0.7447447447447447,ours_marl,rx,0,6,0.8546511627906976,35
36,1,0.7447447447447447,ours_marl,tx,0,7,0.8546511627906976,35
35,1,0.7447447447447447,ours_marl,rx,0,8,0.8546511627906976,35
0,1,0.7447447447447447,ours_marl,idle,0,9,0.8546511627906976,35
81,2,0.7288629737609329,ours_marl,tx,1,0,0.8421052631578947,36
11,2,0.7288629737609329,ours_marl,rx,1,1,0.8421052631578947,36
49,2,0.7288629737609329,ours_marl,rx,1,2,0.8421052631578947,36
63,2,0.7288629737609329,ours_marl,rx,1,3,0.8421052631578947,36
41,2,0.7288629737609329,ours_marl,tx,1,4,0.8421052631578947,36
50,2,0.7288629737609329,ours_marl,tx,1,5,0.8421052631578947,36
25,2,0.7288629737609329,ours_marl,tx,1,6,0.8421052631578947,36
26,2,0.7288629737609329,ours_marl,tx,1,7,0.8421052631578947,36
