block,source,treatment,control,metric,n_pairs,treatment_mean,control_mean,delta_mean,delta_std,bootstrap_ci95_low,bootstrap_ci95_high,n_positive,n_negative,n_zero,filters_json,pair_cols,note
ablation_b10_one_slot_boundary,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,improved_rl_isac,ablation_isac_one_slot_delay,lambda2,3,12.922207974007792,8.470867948046296,4.451340025961496,2.67535075717392,1.5241060658546637,6.769929333642549,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Implementation-boundary check: low-latency candidate use minus one-slot delayed use.
ablation_b10_one_slot_boundary,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,improved_rl_isac,ablation_isac_one_slot_delay,collision_count,3,1050.0,697.0,353.0,5.5677643628300215,347.0,358.0,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Implementation-boundary check: low-latency candidate use minus one-slot delayed use.
ablation_b10_delay_vs_no_isac,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,ablation_isac_one_slot_delay,improved_rl_no_isac,discovery_rate,3,0.29892255892255887,0.0006734006734006666,0.2982491582491582,0.013162873236762955,0.28909090909090907,0.3133333333333333,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Implementation-boundary check: one-slot delayed ISAC remains above enhanced no-ISAC.
ablation_b10_delay_vs_no_isac,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,ablation_isac_one_slot_delay,improved_rl_no_isac,collision_penalized_discovery_rate,3,0.2620057186381931,0.0006734006734006666,0.26133231796479245,0.01073077878542444,0.2533991822565782,0.2735419818221017,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Implementation-boundary check: one-slot delayed ISAC remains above enhanced no-ISAC.
ablation_b10_delay_vs_no_isac,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,ablation_isac_one_slot_delay,improved_rl_no_isac,empty_scan_ratio,3,0.4946940928579415,0.9010891348579242,-0.40639504199998266,0.007970440778272537,-0.4148757209425646,-0.3990584968338798,0,3,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Implementation-boundary check: one-slot delayed ISAC remains above enhanced no-ISAC.
ablation_b10_delay_vs_no_isac,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,ablation_isac_one_slot_delay,improved_rl_no_isac,lambda2,3,8.470867948046296,0.0,8.470867948046296,2.3762323929732108,5.798764354899433,10.346713386703357,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Implementation-boundary check: one-slot delayed ISAC remains above enhanced no-ISAC.
ablation_b10_delay_vs_no_isac,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,ablation_isac_one_slot_delay,improved_rl_no_isac,collision_count,3,697.0,0.0,697.0,21.071307505705477,677.0,719.0,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Implementation-boundary check: one-slot delayed ISAC remains above enhanced no-ISAC.
mobility_b10_gauss_markov_vs_no_isac,06_analysis/paper_tables/round5_mobility_transfer/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,discovery_rate,3,0.3654545454545454,0.0006734006734006666,0.3647811447811448,0.004652316619371286,0.36080808080808086,0.3698989898989899,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Mobility-boundary paired comparison against enhanced no-ISAC.
mobility_b10_gauss_markov_vs_no_isac,06_analysis/paper_tables/round5_mobility_transfer/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,collision_penalized_discovery_rate,3,0.3014976186229031,0.0006734006734006666,0.3008242179495024,0.0032900253977765177,0.2973761604046461,0.3039293482726987,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Mobility-boundary paired comparison against enhanced no-ISAC.
mobility_b10_gauss_markov_vs_no_isac,06_analysis/paper_tables/round5_mobility_transfer/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,empty_scan_ratio,3,0.49857967323108227,0.9010891348579242,-0.4025094616268419,0.008278419249053377,-0.41111797758883556,-0.39460627117048896,0,3,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Mobility-boundary paired comparison against enhanced no-ISAC.
