evidence_block,evidence_tier,source_csv,n_episodes,protocol,node_count,beamwidth_deg,area_scale,mobility_model,range_mode,communication_range_to_diagonal_ratio,sensing_to_comm_range_ratio,false_alarm_rate,miss_detection_rate,angular_cell_offset_std,slot_duration_ms,discovery_rate_mean,discovery_rate_std,discovery_rate_ci95,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_ci95,lambda2_mean,lambda2_std,lambda2_ci95,collision_count_mean,collision_count_std,collision_count_ci95,mean_discovery_delay_mean,mean_discovery_delay_std,mean_discovery_delay_ci95,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,collision_penalized_discovery_rate_ci95,discovery_per_scan_action_mean,discovery_per_scan_action_std,discovery_per_scan_action_ci95
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,uniform_random,100,15.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.00222222,0.000436414,0.000493848,0.833878,0.00195403,0.0022112,-3.73657e-16,2.71758e-16,3.07523e-16,0,0,0,599.288,0.174955,0.19798,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,uniform_random,100,30.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.0373064,0.00162735,0.00184152,0.663898,0.00168548,0.0019073,-1.04704e-16,6.29684e-16,7.12555e-16,12,4.32049,4.8891,588.575,0.490144,0.55465,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,uniform_random,100,5.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0,0,0,0.966474,0.000344588,0.000389938,0,0,0,0,0,0,600,0,0,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,base,0.65,0.5,0.0,0.0,0.0,,0.262846,0.0111946,0.0126679,0.595422,0.0100628,0.0113871,7.90638,0.482492,0.545991,385.667,63.9809,72.4012,514.468,3.68562,4.17067,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,base,0.65,0.75,0.0,0.0,0.0,,0.356876,0.00419712,0.00474949,0.510485,0.0033265,0.00376429,13.1966,1.12728,1.27564,782,89.0431,100.762,481.478,2.95941,3.34889,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,base,0.65,1.0,0.0,0.0,0.0,,0.356909,0.0201412,0.0227919,0.502843,0.00638382,0.00722397,13.9766,2.58256,2.92244,865.667,122.883,139.055,480.076,6.75011,7.63847,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,base,0.65,1.25,0.0,0.0,0.0,,0.356909,0.0201412,0.0227919,0.502843,0.00638382,0.00722397,13.9766,2.58256,2.92244,865.667,122.883,139.055,480.076,6.75011,7.63847,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,base,0.85,0.5,0.0,0.0,0.0,,0.336612,0.00247574,0.00280157,0.529433,0.00815991,0.0092338,14.5038,0.522303,0.591042,829,90.5244,102.438,489.208,1.47988,1.67464,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,base,0.85,0.7500000000000001,0.0,0.0,0.0,,0.35898,0.0173337,0.019615,0.501023,0.00451102,0.0051047,12.1291,1.83901,2.08104,1016.33,19.6864,22.2773,481.089,7.26322,8.21911,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,base,0.85,1.0,0.0,0.0,0.0,,0.357164,0.0154175,0.0174465,0.50355,0.00699954,0.00792072,10.4264,1.66511,1.88425,1006.33,68.1192,77.0841,479.784,6.87166,7.77602,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,base,0.85,1.25,0.0,0.0,0.0,,0.357164,0.0154175,0.0174465,0.50355,0.00699954,0.00792072,10.4264,1.66511,1.88425,1006.33,68.1192,77.0841,479.784,6.87166,7.77602,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,base,1.05,0.5,0.0,0.0,0.0,,0.357037,0.0100772,0.0114034,0.508155,0.00445489,0.00504118,11.0633,2.41943,2.73784,985,92.9982,105.237,481.381,4.79869,5.43023,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,base,1.05,0.75,0.0,0.0,0.0,,0.363704,0.00247056,0.00279571,0.496986,0.00378834,0.00428692,13.9211,0.895689,1.01357,1031.33,23.471,26.56,478.911,2.59735,2.93918,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,base,1.05,1.0,0.0,0.0,0.0,,0.365455,0.00361761,0.00409371,0.49858,0.00660572,0.00747508,12.9222,1.90076,2.15092,1050,20.1163,22.7638,477.986,3.82003,4.32277,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,base,1.05,1.25,0.0,0.0,0.0,,0.365455,0.00361761,0.00409371,0.49858,0.00660572,0.00747508,12.9222,1.90076,2.15092,1050,20.1163,22.7638,477.986,3.82003,4.32277,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_no_isac,100,10.0,density,gauss_markov,base,0.65,0.5,0.0,0.0,0.0,,0.000707162,0.000200011,0.000226334,0.901929,0.000466684,0.000528102,0,0,0,0,0,0,599.766,0.0982594,0.111191,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_no_isac,100,10.0,density,gauss_markov,base,0.65,0.75,0.0,0.0,0.0,,0.000707162,0.000200011,0.000226334,0.901929,0.000466684,0.000528102,0,0,0,0,0,0,599.766,0.0982594,0.111191,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_no_isac,100,10.0,density,gauss_markov,base,0.65,1.0,0.0,0.0,0.0,,0.000707162,0.000200011,0.000226334,0.901929,0.000466684,0.000528102,0,0,0,0,0,0,599.766,0.0982594,0.111191,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_no_isac,100,10.0,density,gauss_markov,base,0.65,1.25,0.0,0.0,0.0,,0.000707162,0.000200011,0.000226334,0.901929,0.000466684,0.000528102,0,0,0,0,0,0,599.766,0.0982594,0.111191,,,,,,
main_range_grid,main,06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv,3,improved_rl_no_isac,100,10.0,density,gauss_markov,base,0.85,0.5,0.0,0.0,0.0,,0.000673918,0.00019066,0.000215752,0.901089,0.000265387,0.000300314,0,0,0,0,0,0,599.777,0.0935909,0.105908,,,,,,
