collision_count_control,collision_count_delta,collision_count_treatment,collision_penalized_discovery_rate_control,collision_penalized_discovery_rate_delta,collision_penalized_discovery_rate_treatment,control,discovery_rate_control,discovery_rate_delta,discovery_rate_treatment,episode,lambda2_control,lambda2_delta,lambda2_treatment,node_count,rf_chains,treatment
1034,-794.0,240,0.12173202614379085,0.23408192734458122,0.3558139534883721,improved_rl_isac,0.7842105263157895,0.021052631578947323,0.8052631578947368,2,12.10661758436837,0.06547911971567899,12.17209670408405,20,1,budgeted_collision_aware_isac
0,240.0,240,0.005263157894736842,0.3505507955936352,0.3558139534883721,uniform_random,0.005263157894736842,0.7999999999999999,0.8052631578947368,2,0.0,12.17209670408405,12.17209670408405,20,1,budgeted_collision_aware_isac
762,-375.0,387,0.13970588235294118,0.1115939443368335,0.2512998266897747,wang2025_isac_no_collab,0.7,0.06315789473684219,0.7631578947368421,3,8.914802686104405,2.298755866136519,11.213558552240924,20,1,budgeted_collision_aware_isac
1066,-679.0,387,0.11942675159235669,0.131873075097418,0.2512998266897747,wang2025_comm_tables,0.7894736842105263,-0.02631578947368418,0.7631578947368421,3,11.01825485245463,0.1953036997862938,11.213558552240924,20,1,budgeted_collision_aware_isac
1089,-702.0,387,0.11962470680218922,0.13167511988758546,0.2512998266897747,wang2025_isac_tables,0.8052631578947368,-0.042105263157894646,0.7631578947368421,3,11.747186428077807,-0.5336278758368831,11.213558552240924,20,1,budgeted_collision_aware_isac
1333,-946.0,387,0.09520682862770848,0.15609299806206622,0.2512998266897747,improved_rl_isac,0.7631578947368421,0.0,0.7631578947368421,3,9.348175022869889,1.8653835293710355,11.213558552240924,20,1,budgeted_collision_aware_isac
0,387.0,387,0.005263157894736842,0.24603666879503786,0.2512998266897747,uniform_random,0.005263157894736842,0.7578947368421053,0.7631578947368421,3,0.0,11.213558552240924,11.213558552240924,20,1,budgeted_collision_aware_isac
682,-305.0,377,0.16055045871559634,0.10752714269533839,0.26807760141093473,wang2025_isac_no_collab,0.7368421052631579,0.06315789473684219,0.8,4,8.743712169089846,2.402527451861639,11.146239620951485,20,1,budgeted_collision_aware_isac
1104,-727.0,377,0.11901081916537867,0.14906678224555606,0.26807760141093473,wang2025_comm_tables,0.8105263157894737,-0.010526315789473606,0.8,4,10.506631425298247,0.6396081956532385,11.146239620951485,20,1,budgeted_collision_aware_isac
1324,-947.0,377,0.10435931307793923,0.1637182883329955,0.26807760141093473,wang2025_isac_tables,0.8315789473684211,-0.03157894736842104,0.8,4,12.620611695977708,-1.4743720750262224,11.146239620951485,20,1,budgeted_collision_aware_isac
1815,-1438.0,377,0.0713216957605985,0.19675590565033624,0.26807760141093473,improved_rl_isac,0.7526315789473684,0.047368421052631615,0.8,4,9.518342611905938,1.6278970090455473,11.146239620951485,20,1,budgeted_collision_aware_isac
0,377.0,377,0.010526315789473684,0.25755128562146107,0.26807760141093473,uniform_random,0.010526315789473684,0.7894736842105263,0.8,4,0.0,11.146239620951485,11.146239620951485,20,1,budgeted_collision_aware_isac
1426,-635.0,791,0.15368081676518,0.09509569220708752,0.24877650897226752,wang2025_isac_no_collab,0.6574712643678161,0.04367816091954024,0.7011494252873564,0,12.443052283165446,0.9413656457233497,13.384417928888796,30,1,budgeted_collision_aware_isac
2433,-1642.0,791,0.10495118549511855,0.143825323477149,0.24877650897226752,wang2025_comm_tables,0.6919540229885057,0.00919540229885063,0.7011494252873564,0,13.680589930668026,-0.29617200177922953,13.384417928888796,30,1,budgeted_collision_aware_isac
2376,-1585.0,791,0.11205976520811099,0.13671674376415655,0.24877650897226752,wang2025_isac_tables,0.7241379310344828,-0.02298850574712641,0.7011494252873564,0,14.90550958833933,-1.5210916594505335,13.384417928888796,30,1,budgeted_collision_aware_isac
3019,-2228.0,791,0.08135495078170238,0.16742155819056515,0.24877650897226752,improved_rl_isac,0.6459770114942529,0.05517241379310345,0.7011494252873564,0,12.429221740719964,0.9551961881688324,13.384417928888796,30,1,budgeted_collision_aware_isac
0,791.0,791,0.011494252873563218,0.2372822560987043,0.24877650897226752,uniform_random,0.011494252873563218,0.6896551724137931,0.7011494252873564,0,-1.9795323450297772e-16,13.384417928888796,13.384417928888796,30,1,budgeted_collision_aware_isac
