protocol,slot,sample_count,true_edges_n,true_edges_mean,true_edges_std,true_edges_median,true_edges_min,true_edges_max,true_edges_ci95,true_edges_seen_n,true_edges_seen_mean,true_edges_seen_std,true_edges_seen_median,true_edges_seen_min,true_edges_seen_max,true_edges_seen_ci95,discovered_edges_n,discovered_edges_mean,discovered_edges_std,discovered_edges_median,discovered_edges_min,discovered_edges_max,discovered_edges_ci95,new_edges_n,new_edges_mean,new_edges_std,new_edges_median,new_edges_min,new_edges_max,new_edges_ci95,empty_scan_ratio_n,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_median,empty_scan_ratio_min,empty_scan_ratio_max,empty_scan_ratio_ci95,collision_count_n,collision_count_mean,collision_count_std,collision_count_median,collision_count_min,collision_count_max,collision_count_ci95,lcc_ratio_n,lcc_ratio_mean,lcc_ratio_std,lcc_ratio_median,lcc_ratio_min,lcc_ratio_max,lcc_ratio_ci95,lambda2_n,lambda2_mean,lambda2_std,lambda2_median,lambda2_min,lambda2_max,lambda2_ci95
improved_rl_isac,44,10,10,51.4,4.69515,51.5,44,61,2.91008,10,51.6,4.81202,51.5,44,61,2.98252,10,34.5,4.35252,34,29,45,2.69772,10,0.8,0.788811,1,0,2,0.48891,10,0.130102,0.0291992,0.132159,0.0819048,0.175238,0.0180979,10,27.9,13.2199,26.5,14,60,8.1938,10,1,0,1,1,1,0,10,2.24682,0.757796,1.9592,1.56995,3.68342,0.469687
improved_rl_isac,45,10,10,51.5,4.64878,51.5,44,61,2.88134,10,51.7,4.76212,51.5,44,61,2.95159,10,35.1,4.12176,34.5,30,45,2.55469,10,0.6,0.699206,0.5,0,2,0.433372,10,0.128511,0.0286357,0.129731,0.0837989,0.175373,0.0177486,10,29.1,13.4697,28,14,62,8.34862,10,1,0,1,1,1,0,10,2.25821,0.757347,1.97009,1.57668,3.68342,0.469409
improved_rl_isac,46,10,10,51.5,4.64878,51.5,44,61,2.88134,10,51.7,4.76212,51.5,44,61,2.95159,10,35.8,4.07704,36,31,46,2.52697,10,0.7,0.823273,0.5,0,2,0.51027,10,0.127298,0.0279872,0.128054,0.0839416,0.173675,0.0173466,10,30.1,13.65,29,14,64,8.46035,10,1,0,1,1,1,0,10,2.34798,0.741565,2.14797,1.57668,3.77568,0.459627
improved_rl_isac,47,10,10,51.7,4.71522,52,44,61,2.92253,10,51.9,4.81779,52,44,61,2.9861,10,35.9,3.95671,36,32,46,2.45239,10,0.1,0.316228,0,0,1,0.196,10,0.125548,0.0271718,0.127093,0.0839286,0.169946,0.0168413,10,30.8,13.4726,30.5,14,64,8.35041,10,1,0,1,1,1,0,10,2.34798,0.741565,2.14797,1.57668,3.77568,0.459627
improved_rl_isac,48,10,10,51.9,4.70106,52,44,61,2.91375,10,52.1,4.79467,52.5,44,61,2.97177,10,36,3.97213,36,32,46,2.46195,10,0.1,0.316228,0,0,1,0.196,10,0.124224,0.0272253,0.124421,0.0839161,0.169014,0.0168744,10,31.3,13.4911,32,14,64,8.3619,10,1,0,1,1,1,0,10,2.34821,0.741401,2.14797,1.57668,3.77568,0.459525
improved_rl_isac,49,10,10,52.1,4.79467,52.5,44,61,2.97177,10,52.3,4.87739,53,44,61,3.02303,10,36.5,3.89444,36,32,46,2.4138,10,0.5,0.527046,0.5,0,1,0.326667,10,0.123166,0.0269911,0.124436,0.0839041,0.165803,0.0167292,10,31.7,13.5405,33.5,14,64,8.39247,10,1,0,1,1,1,0,10,2.47822,0.678797,2.25511,1.6901,3.77568,0.420723
improved_rl_isac,50,10,10,52.2,4.87169,52.5,44,61,3.0195,10,52.4,4.97103,53,44,61,3.08107,10,36.8,3.73571,36.5,33,46,2.31542,10,0.3,0.483046,0,0,1,0.299395,10,0.122254,0.0267253,0.125517,0.0822148,0.164129,0.0165645,10,32.9,14.6322,33.5,14,68,9.0691,10,1,0,1,1,1,0,10,2.50175,0.685645,2.27981,1.75754,3.77568,0.424967
improved_rl_isac,51,10,10,52.3,4.85455,52.5,44,61,3.00888,10,52.5,4.94975,53,44,61,3.06789,10,37.2,4.02216,36.5,33,47,2.49296,10,0.4,0.516398,0,0,1,0.320067,10,0.121766,0.0269861,0.124079,0.0822368,0.164179,0.0167261,10,33.7,14.5224,34.5,16,68,9.00107,10,1,0,1,1,1,0,10,2.52791,0.713529,2.28164,1.75754,3.80847,0.44225
improved_rl_isac,52,10,10,52.3,4.6916,52.5,44,60,2.90788,10,52.6,4.97103,53,44,61,3.08107,10,37.6,4.22164,37,33,48,2.6166,10,0.4,0.516398,0,0,1,0.320067,10,0.120011,0.0266068,0.121772,0.0806452,0.160976,0.0164911,10,34.8,15.1203,34.5,16,70,9.37163,10,1,0,1,1,1,0,10,2.59959,0.796646,2.34776,1.75754,3.91713,0.493766
improved_rl_isac,53,10,10,52.4,4.64758,53,44,59,2.8806,10,52.8,5.0728,53.5,44,61,3.14416,10,38,4.24264,37.5,33,48,2.62962,10,0.4,0.699206,0,0,2,0.433372,10,0.119179,0.026775,0.12024,0.0806962,0.161085,0.0165953,10,35.2,14.928,35.5,16,70,9.25245,10,1,0,1,1,1,0,10,2.62138,0.795571,2.36377,1.75754,3.91713,0.4931
